ESPECIE,T_DISTRIB,VEDA,RESOLUCION,ENTID_VEDA,CATEG_CIT,CATEG_UICN,CATE_MINIS,MIGRACION,TIPO_MIGR,VIGEN_VEDA,USO,DIETA,DISTR_ALT,TABLA,TABLA
Formicivora grisea,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1600,CIRA,NULL
Forpus conspicillatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice II,Preocupación Menor (LC),No aplica,No,0,Indefinida,Mascotas,Frugívoro,<1800,CIRA,VRC
Furnarius leucopus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<2700,CIRA,VRC
Gampsonyx swainsonii,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<1200,CIRA,NULL
Glaucis hirsutus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Nectarívoro,<1100,CIRA,VRC
Gonatodes albogularis,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1600,CIRA,VRC
Helicops danieli,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Carnivoro,<500,CIRA,VRC
Hemidactylus frenatus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1600,CIRA,NULL
Herpetotheres cachinnans,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,No Aplica,Indefinida,,Carnivoro,<1500,CIRA,VRC
Holcosus festivus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No Aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1450,CIRA,VRC
Hoplias malabaricus,Cosmopolita,0,0,0,No aplica,0,No aplica,Sí,Estacional,0,Subsistencia,Carnivoro,<600,CIRA,VRC
Hylophilus flavipes,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<1200,CIRA,VRC
Hypnelus ruficollis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Omnívoro,<1200,CIRA,VRC
Hypsiboas crepitans,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<2300,CIRA,VRC
Icterus auricapillus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Frugívoro,<800,CIRA,NULL
Icterus nigrogularis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,Mascotas,Insectivoro,<3000,CIRA,VRC
Iguana iguana,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,Apendice II,Preocupación Menor (LC),No aplica,No,0,Indefinida,Subsistencia,Herbívoro,<1200,CIRA,VRC
Jacana jacana,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Omnivoro,<1000,CIRA,VRC
Kinosternon leucostomum,Restringida,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,,No aplica,No,,Indefinida,,Omnívoro,<750,CIRA,NULL
Laterallus albigularis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<1600,CIRA,VRC
Legatus leucophaius,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,Sí,Estacional,Indefinida,,Insectivoro,<1000,CIRA,NULL
Lepidoblepharis sanctaemartae,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,,Indefinida,,Insectivoro,<600,CIRA,NULL
Leptodactylus fragilis,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<800,CIRA,VRC
Leptodactylus fuscus,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,No aplica,Preocupación Menor (LC),No aplica,No,0,Indefinida,0,Insectivoro,<500,CIRA,VRC
Leptodactylus sp.,Cosmopolita,Nacional,0787 de 1977,INDERENA - Instituto Nacional de Recursos Naturales Renovables y del Ambiente,,,,No,No Aplica,Indefinida,,Insectivoro,,CIRA,NULL
