DIVISION,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,N_COMUN
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis enigmaticus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis epacrus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis eremitus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis eriphus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ernesti,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis erythropleura,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis esmeraldas,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis eugeniae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis eurydactylus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis exoristus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis factiosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis fallax,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis farisorum,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis fasciatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis fenestratus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis festae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis fetosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis flabellidiscus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis floridus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis frater,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis gaigei,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis galdi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ganonotus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis geminus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis gentryi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ginesi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis gladiator,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis glandulosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis gracilis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis grandiceps,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis guaiquinimensis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis hamiotae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis hectus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis helvolus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis hernandezi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis hoogmoedi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis huicundo,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis humboldti,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis hybotragus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ignicolor,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis iiap,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis illotus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis imitatrix,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis incanus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis incertus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis incomptus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis infraguttatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis insignitus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis inusitatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis ixalus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis jabonensis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis jaguensis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis jaimei,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis johannesdei,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis jorgevelosai,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis juanchoi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis jubatus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis karcharias,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis kareliae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis katoptroides,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis kelephus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis kichwarum,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis kirklandi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis labiosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lacrimosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lancinii,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lanthanites,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lasalleorum,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis laticlavius,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis latidiscus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lemur,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis leoni,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis leopardus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis leptolophus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis leucopus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis leucorrhinus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis librarius,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lichenoides,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis limoncochensis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lindae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lirellus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lividus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis longicorpus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis loustes,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lucasi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis luscombei,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis luteolateralis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lutitus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lymani,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lynchi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis lythrodes,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis maculosus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis malkini,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis marahuaka,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis mariaelenae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis marmoratus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis mars,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis martiae,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis medemi,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis megalops,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis melanogaster,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis melanoproctus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis memorans,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis mendax,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis meridionalis,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis merostictus,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis metabates,
CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,Pristimantis minutulus,
